[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:17.613736'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 2.36), ('watertemp', 25.18), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:17.830786'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 2.53), ('watertemp', 25.19), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:18.198647'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 3.65), ('watertemp', 25.19), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:18.415808'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 3.81), ('watertemp', 25.19), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:18.632913'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 3.97), ('watertemp', 25.19), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:18.851156'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 4.13), ('watertemp', 25.19), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:19.068239'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 4.29), ('watertemp', 25.19), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:19.285938'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 4.45), ('watertemp', 25.19), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:19.504487'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 4.61), ('watertemp', 25.2), ('yaw', 0.0)]
[('compass', 93.25), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-18 13:46:19.721461'), ('depth', -0.248), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.55), ('roll', 1.28), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 25.0), ('thr1', 26.0), ('thr2', 26.0), ('thr3', 26.0), ('time', 4.77), ('watertemp', 25.2), ('yaw', 0.0)]
