[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:44.828681'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 28.0), ('thr3', 27.0), ('time', 3.0), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:45.044880'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 28.0), ('thr3', 27.0), ('time', 3.16), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:45.261117'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 3.32), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:45.477309'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 3.48), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:45.693522'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 3.64), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:45.909743'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 3.81), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:46.125933'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 3.97), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:46.342119'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 28.0), ('thr3', 27.0), ('time', 4.13), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:46.559887'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 28.0), ('thr3', 27.0), ('time', 4.29), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:46.776063'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 4.45), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:46.992243'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 4.61), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:47.208467'), ('depth', -0.02), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 4.77), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:47.424662'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 4.93), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:47.640951'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 5.09), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:47.858735'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 5.25), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:48.074999'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 28.0), ('thr3', 27.0), ('time', 5.41), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:48.291828'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 28.0), ('thr3', 27.0), ('time', 5.57), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:48.508194'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 5.73), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:48.724648'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 5.89), ('watertemp', 23.58), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 13:58:48.941148'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 28.0), ('thr3', 27.0), ('time', 6.05), ('watertemp', 23.58), ('yaw', 0.0)]
