[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 14:01:52.799577'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 28.0), ('thr3', 27.0), ('time', 1.4), ('watertemp', 23.52), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 14:01:53.017194'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 28.0), ('time', 1.56), ('watertemp', 23.46), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 14:01:53.233914'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 28.0), ('thr3', 27.0), ('time', 1.72), ('watertemp', 23.46), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 14:01:53.450215'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 28.0), ('thr3', 27.0), ('time', 1.88), ('watertemp', 23.46), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 14:01:53.666660'), ('depth', -0.02), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 28.0), ('time', 2.04), ('watertemp', 23.47), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 14:01:53.882989'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 28.0), ('thr3', 27.0), ('time', 2.2), ('watertemp', 23.47), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 14:01:54.099356'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 28.0), ('thr2', 27.0), ('thr3', 28.0), ('time', 2.36), ('watertemp', 23.47), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 14:01:54.315713'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 2.52), ('watertemp', 23.47), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 14:01:54.532072'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 2.68), ('watertemp', 23.47), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 14:01:54.748387'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 28.0), ('thr3', 27.0), ('time', 2.84), ('watertemp', 23.47), ('yaw', 0.0)]
[('compass', 7.47), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-07-12 14:01:54.964752'), ('depth', -0.03), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', 99.8), ('roll', 4.21), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 28.0), ('thr3', 27.0), ('time', 3.0), ('watertemp', 23.47), ('yaw', 0.0)]
