[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:14.117141'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 115.11), ('watertemp', 25.43), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:16.361798'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 1.88), ('watertemp', 25.4), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:16.566564'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 2.21), ('watertemp', 25.41), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:16.770288'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 26.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 2.37), ('watertemp', 25.41), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:16.974629'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 2.53), ('watertemp', 25.41), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:17.179198'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 2.69), ('watertemp', 25.41), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:17.383293'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 3.02), ('watertemp', 25.42), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:17.587461'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 3.18), ('watertemp', 25.42), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:17.791865'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 3.35), ('watertemp', 25.42), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:17.998416'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 26.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 3.51), ('watertemp', 25.42), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:18.202721'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 3.83), ('watertemp', 25.42), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:18.406805'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 3.99), ('watertemp', 25.42), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:18.610786'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 4.16), ('watertemp', 25.42), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:18.815589'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 4.32), ('watertemp', 25.42), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:19.019392'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 4.64), ('watertemp', 25.42), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:19.223424'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 4.81), ('watertemp', 25.42), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:19.427451'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 4.97), ('watertemp', 25.42), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:19.632030'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 5.13), ('watertemp', 25.42), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:19.836793'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 26.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 5.46), ('watertemp', 25.43), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:20.040957'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 5.62), ('watertemp', 25.42), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:20.244875'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 5.78), ('watertemp', 25.43), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:20.448982'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 5.95), ('watertemp', 25.43), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:20.653323'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 6.27), ('watertemp', 25.42), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:20.857861'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 6.43), ('watertemp', 25.42), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:21.061842'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 6.6), ('watertemp', 25.43), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:21.266517'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 6.76), ('watertemp', 25.43), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:21.470476'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 7.09), ('watertemp', 25.42), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:21.676960'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 26.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 7.25), ('watertemp', 25.43), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:21.881375'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 26.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 7.41), ('watertemp', 25.42), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:22.086123'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 26.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 7.74), ('watertemp', 25.43), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:22.289842'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 7.9), ('watertemp', 25.43), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:22.493622'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 8.06), ('watertemp', 25.43), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:22.698230'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 8.22), ('watertemp', 25.43), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:22.902569'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 8.55), ('watertemp', 25.43), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:23.106631'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 8.71), ('watertemp', 25.43), ('yaw', 0.0)]
[('compass', -35.52), ('cur0', 0.0), ('cur1', 0.0), ('cur2', 0.0), ('datetime', '2019-08-21 12:56:23.310521'), ('depth', -12.5), ('flw0', 0), ('flw1', 0), ('flw2', 0), ('flw3', 0), ('lipoC2', 0.0), ('lipoC3S3', 0.0), ('mgs', 0), ('pitch', -1.66), ('roll', -0.76), ('rot0', 0), ('rot1', 0), ('rot2', 0), ('rot3', 0), ('state', 'normal'), ('thr0', 27.0), ('thr1', 27.0), ('thr2', 27.0), ('thr3', 27.0), ('time', 8.87), ('watertemp', 25.43), ('yaw', 0.0)]
